,motorcycle parking ,driving school ,swimming pool ,private toilet ,car rental ,car wash ,waste disposal ,fountain ,restaurant ,social facility ,parking space ,dentist ,fuel ,theatre ,bench ,bicycle parking ,bus station ,post box ,veterinary ,clock ,grave yard ,townhall ,hunting stand ,school ,shelter ,telephone ,atm ,community centre ,parking ,bbq ,childcare ,courthouse ,cafe ,pharmacy ,marketplace ,post office ,drinking water ,ice cream ,place of worship ,public building ,mobile money agent ,waste basket ,bar ,cinema ,fire station ,doctors ,charging station ,hospital ,bank ,college ,fast food ,arts centre ,grit bin ,taxi ,ferry terminal ,recycling ,biergarten ,kindergarten ,university ,pub ,shower ,parking entrance ,police ,bureau de change ,prison ,toilets ,library ,embassy ,nursing home ,clinic ,vending machine ,water point ,nightclub ,bicycle rental 
education,0.07132359975921732,0.3952828386925192,0.096799655944596,0.21028310593631616,0.08981066040106017,0.040365576314056004,0.06336369782877832,0.050588230217445046,0.06169287610987741,0.29677434135602576,0.06896439718135976,0.11509212027302992,0.10753808658536008,0.0,0.013401606726771528,0.10644040512895225,0.17103527408193303,0.030582136032167806,0.26310049795263646,-0.0069180921062865375,0.029708421890818636,0.10263411602859776,0.11030935720083171,0.5055380569360275,0.20559772857098868,0.0756485297300061,0.04771735400861651,0.0,0.02853562076747006,0.05031531683741301,0.4590175715634426,0.07147748467480874,0.08350091228440548,0.17582527846118431,0.12330738992470802,0.11165903141991486,0.18939648516935328,-0.003611850382045272,0.0,0.30505309798106905,0.1515486300206893,0.1238940739392084,0.02169372280005476,0.17845298832313577,0.08707064803882109,0.12717550153605583,0.08748099058394834,0.20603703333855608,0.07625541078147899,0.43495465667729105,0.13603774384181208,0.0,0.033768473797715165,0.05278174636842674,0.07655388915317168,0.16891242455733008,0.035964827000495754,0.45704382745729344,0.4155176628994626,0.046730405368499275,0.05111990545055752,0.060408712075520864,0.1662455515596108,0.10681649662999579,0.2008050812873657,0.17107368016912022,0.29115611918682693,0.09496398702071114,0.292801258279227,0.17717291205172275,0.060220762784078175,0.14369135890554874,-0.006303069525691762,0.13379151492821229
health,0.10217381595936632,0.19874457910681637,0.1320943386540736,0.2491923568318433,0.08269726144624207,0.11057207773477208,0.1950031107190843,0.06441784918676549,0.15005170673187868,0.2602324427300294,0.06330714363714857,0.23210817275390028,0.1045406907776888,0.0,0.021503863421821357,0.11299889445217236,0.07218444481294278,0.048888682900920084,0.3805371297315105,0.07094290336366879,0.15890417193848466,0.0841605999812899,0.07522113891887261,0.2178301974962792,0.15231421993919947,0.15580973179663768,-0.019877974540286787,0.0,0.03843985013481612,0.03797515628629679,0.3584570604766848,0.0930353243158008,0.13987855529954146,0.38753923116575584,0.07831247925886267,0.1168199905586311,0.2612680230272334,0.02657845257779774,0.0,0.2908889891496941,0.1285314583366843,0.14868099770438625,0.07334606121471643,0.13437496086717057,0.10836457700399012,0.3984816875263901,0.02707702731116068,0.3817678736082407,0.10927515963961945,0.13760736921994932,0.22575845667979838,0.0,0.09198266240344814,0.09524314487597674,0.13903858577474898,0.20492873568441655,0.01839570140330641,0.1839040208840827,0.19554011264336388,0.10631434761887013,0.08951373085308566,0.04195648961899346,0.14939219620077543,0.1407093799128598,0.1943435507865196,0.1804321843445586,0.11724959756610126,0.12743734819179642,0.34790882255689615,0.32754095389893056,0.07648826215768871,0.1864546895729782,0.058744949758011776,0.12383373996838856
residential,0.2671755400161029,0.1807594042178517,0.117050952289323,0.30533871137808943,0.35214911174858177,0.1424597226582205,0.1357248746200177,0.13174148713627537,0.20194569209940322,0.3038279449482497,0.2862046677202806,0.05897551139080824,0.1362164876582296,0.0,8.678016759463246e-05,0.2551500412646894,0.18041944515603475,0.02682352607211183,0.12797150153145326,0.010390373901612189,0.11170399604840084,0.08824423948073254,0.10472620474857772,0.1649929309619112,0.17372962733434685,0.2269053282233613,0.05365761686945708,0.0,0.26734966620696815,0.11145071252108033,0.22872574386161765,0.14927162426260296,0.16989202681086407,0.1956756136700935,0.12561798777401223,0.13122786669723913,0.21214992522660847,0.033255247574456304,0.0,0.37153304679899257,0.23075012701894232,0.10094100932136169,0.04003970370624514,0.18416784101390876,0.17841079609528107,0.014744709691656685,0.19774578298011247,0.16423781068230728,0.22378439546614973,0.15451583910395877,0.0844414417355456,0.0,0.04708380539600365,0.16142853568962853,0.1424547360710196,0.21342363300395195,0.08281986555736073,0.18533601965672833,0.1753092590914898,0.15793240589961788,0.11779679555014094,0.27072652093339966,0.13115287096499034,0.11492238170138368,0.14879566214331463,0.21400556930829376,0.15679822333956683,0.15336768376026044,0.30536545091677486,0.1355431893975269,0.09491575102124122,0.2005408699996864,0.09922703014330517,0.30330598388754165
culture,0.0546945571848278,0.11713112402641404,0.1383209742808748,0.11844814688868446,0.06891419808223218,0.09741502371086827,0.03466615197182655,0.13433589205423196,0.19701986450563458,0.28415415868654026,0.04934184504675595,0.030082285266324893,0.0529543394740533,0.0,-0.004145944004794216,0.04182024900055028,0.06706178047547448,0.028271323323545254,0.04283718905729317,0.0444946728721519,0.07870492139545504,0.09472443688072679,0.08708542444616285,0.11621830824640765,0.020817073324682932,0.014935986602689931,-0.014236327758700222,0.0,0.00184928319695489,0.08622873701646472,0.07848331730285164,0.05324348278701707,0.18772764565159364,0.06163876777107014,0.26592776700770016,0.06143957237697959,0.15555313909171609,0.09625827609057727,0.0,0.17010715847247448,0.07771300538615364,0.07447422362394188,0.0625122393080984,0.305405119171127,0.09220512738024735,0.06723272650709133,0.034818854467366295,0.0788747678254886,0.1459081481955209,0.10323737019002308,0.17949206306997234,0.0,0.09739380897346701,0.0809207113713437,0.039244269108020716,0.0849638025279858,0.21303603568253532,0.044390578975809405,0.19363204378041593,0.17076703557394263,0.03066460368105009,0.014875369488711557,0.13476240204932544,0.14347902838113613,0.07887242174176767,0.1362699542850399,0.11443396478844883,0.1380773151828016,0.04588157988957666,0.039953775543333916,0.17039040511232534,0.08295133383323496,0.12656780775715482,0.06229818312341993
culture and leisure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hospitality,0.11601447876929942,0.08402140832821695,0.07839138979639479,0.22833499495755744,0.18003209652265026,0.09290747455088441,0.06825552819455745,0.07886328197779627,0.33873540890745724,0.22422173751644398,0.12171084829884571,0.0238355448536411,0.06919404170100388,0.0,0.021945921294116766,0.06279586126218051,0.08376018239131947,-0.0011152123019259885,0.1168918268481591,0.06416245176244244,0.011299199606267935,0.05352162764355621,0.10622905390489665,0.03631971726176643,0.17816712962240538,0.07734024344044002,0.0077491760127586466,0.0,0.0792459972001016,0.19744175935881478,0.23429626697612743,0.01882973708210244,0.16438014857741914,0.12936719127485036,0.1064107313655486,0.10886202058101642,0.14479266850035447,0.09236420875552809,0.0,0.1703208122061878,0.16007594049651236,0.10444565510036091,0.13950741337461253,0.25721788588547767,0.06063493865783473,0.043292432002868725,0.0497111261920635,0.1101621850572369,0.0383349528062724,0.14159487980934962,0.29023313292216846,0.0,0.04670370762565323,0.16479567670227438,0.1292305107292912,0.03882664670209858,0.23710327860909614,0.005819370210663269,0.1707793809484831,0.20635778044602227,0.15257110932774648,0.10593210298308083,0.029437770907797485,0.12199344394040311,0.06226289171409806,0.15525287515293082,-0.008715566090562576,0.12659826785655676,0.26048353753971054,0.020585749171429468,0.16617523965599082,0.10721125490751679,0.13093373583486395,0.13866176219392173
tourism infrastructure,0.15376057271486715,0.11361060062874039,0.10345934380811554,0.196920317808638,0.2151030686874084,0.09866765658016757,0.15447870031816482,0.05504135527473466,0.19254061660342703,0.33840018066968997,0.14985630116436027,0.08124357287903484,0.18104848533323484,0.0,-0.0110844741368557,0.16209772899567604,0.2127806208367444,0.042857204587512195,0.17297273372119643,0.024219640092708314,0.02874377498431971,0.12278288765161108,0.1269860162041862,0.10950288360560273,0.17133734701215558,0.1255534821037204,0.02515154711875458,0.0,0.0863953520182873,0.07826638651909143,0.2103843922722864,0.12350840168820448,0.16181570090457403,0.1406770292897204,0.1802001580823161,0.12671193583426946,0.19866040279647168,0.05152494605401338,0.0,0.3245063394523358,0.24474912587261172,0.1670972230550597,0.023334391433604735,0.24213231036350924,0.16254725762615674,0.08555743363281426,0.1459750052000718,0.1848495730608622,0.16012216604820925,0.06810518548649955,0.15041887392155462,0.0,0.019863787463528758,0.22616031989268529,0.31587302472633355,0.1657960167624651,0.09763585950036073,0.10796786256656028,0.21249758151320097,0.12082168618974344,0.02907905128280235,0.08994649475640387,0.13912816366661862,0.22027163025206653,0.12272581528232104,0.17065990501560496,0.13913137901980133,0.18167491213976122,0.12027488254728336,0.09460230296435213,0.187360423205694,0.1900753799213699,0.11195458119054987,0.24472793580740074
tourism,0.14448237504788197,0.08499958176327116,0.09898405944359656,0.13300682271389655,0.20804764933534758,0.09248797117220081,0.07030190502461675,0.02900665053888926,0.23031163554384745,0.18967477777424452,0.08863863981999684,0.10960158382898823,0.1337795022441846,0.0,-0.01649379040397406,0.12079144365526329,0.1695887954084764,0.02801666700621775,0.15430026188229795,0.0011945067206784593,0.02544624192247355,0.08402429945061538,0.16858782192583935,0.10301289850036419,0.11412751358603596,0.059937414874676145,0.017673039406240827,0.0,0.049468891950067255,0.07346668156927497,0.17417136557838053,0.07832820794069634,0.15511885617294469,0.13000140063702964,0.10113075971195111,0.09390059222786987,0.1390844088696694,0.050069631889974986,0.0,0.1971725279166661,0.18089616482895557,0.12708047520166327,0.05474771380433787,0.2657002604914662,0.10706983930649877,0.12577959043633732,0.08025906320207306,0.1537916071196799,0.1350142961865701,0.07823531140687467,0.10638123151558983,0.0,-0.007876823448146709,0.25444751948207683,0.2757490988788446,0.1402266170389006,0.10445095108170868,0.07670671254164876,0.18946909440946821,0.15010944464013154,0.013314150796802954,0.0567579728486464,0.12843265437034396,0.25449398158223785,0.11494599739535143,0.074105628528911,0.06212628115472501,0.15671833331596577,0.12009767375265484,0.08819920667329346,0.12809271436971462,0.14371068829684072,0.17334440145603008,0.2281072606803008
infrastructure,0.09980156826159067,0.10167140022373425,0.06488316416113221,0.1946132758520221,0.13201153553822526,0.06433234826352481,0.1963677547782985,0.06488550177209719,0.06156604530526116,0.38436621226029044,0.16425036774070614,0.010032776417466653,0.16417245741531694,0.0,0.000608617783234542,0.14568515378056007,0.17707635971038724,0.04354979274539593,0.12284379001157002,0.043403972858278,0.02066345927666018,0.1199418822928418,0.019176785451935633,0.07092417028226074,0.17138371583344736,0.1560055122985907,0.023977713138845537,0.0,0.09679052543575695,0.05089927210469465,0.16674720260747922,0.12860072164826103,0.10109193784166001,0.09411700509365424,0.2045132982709516,0.11455259799708864,0.1900393797230213,0.03132019810415936,0.0,0.34896166449217725,0.2218746840902674,0.14688735954911136,-0.026990769443080168,0.10814690690937201,0.16413517349120327,-0.0027327351507209314,0.16780675040001491,0.14553327831446128,0.1237601980830863,0.025923999445197562,0.14251602565792298,0.0,0.04696793710430498,0.09295863035985369,0.23206575123700057,0.127595909490127,0.0470597214465989,0.10184826000591451,0.1510286420733845,0.03146215072722515,0.03686085763967924,0.09402156262991815,0.09325719081245398,0.08197301597057671,0.08013834917511609,0.22150734708061504,0.1783880598283513,0.13588559778614992,0.06897706787942467,0.062295394711625256,0.18318448980443602,0.1681713235186325,-0.014819324302590996,0.16122520658926764
food drink,0.24501862626489235,0.26429750456179296,0.1893607941761576,0.32871016001122944,0.23001268222393684,0.3489316722071324,0.16563237087419025,0.30218493261429236,0.4282211319318654,0.17446187362061588,0.19899553717052898,0.13885524794503903,0.27887172831370305,0.0,0.0690938070803098,0.2536660738180826,0.17353197252707409,0.07990421076339077,0.20645235967523445,0.1215289733710821,0.059590484679782445,0.00461864603482583,0.18339644126222468,0.11521490722602237,0.3033774643038805,0.07129576332565339,0.06153009369487019,0.0,0.19860939289566243,0.29129067882598636,0.2278797389831003,0.038353620007563705,0.32003050701624336,0.21422075335425067,0.06326086022495518,0.08773694731766302,0.6466170835614585,0.26848333165517874,0.0,0.12042334408938565,0.16592814578971882,0.2955612438972765,0.329647179590408,0.1875841517960427,0.12537171463204247,0.12482836818350038,0.14058319381962592,0.13517782337006712,0.13128750962231173,0.13827182852378,0.676481368025248,0.0,0.1522009643620477,0.253595212519304,0.11177122879675808,0.1798295137313386,0.34800031468240256,0.07390897436033796,0.09371123024368808,0.39916669567124363,0.29087885030575966,0.18804389130349278,0.13538950528959082,0.1290863004703059,0.10546368517079047,0.3215805363756825,0.04426539239394654,0.11146639253167667,0.1712335871579062,0.10694622494659474,0.30042000462152085,0.3840768700859014,0.24585270039003398,0.20511500955806258
government,0.06976738793261689,0.06397380236406433,0.013608399240232563,0.2624455009826441,0.14310474801552128,0.13303287626273544,0.11587473651105354,0.03445657809306993,0.10234297425380252,0.19901178871934105,0.046688434843625684,0.09639250191131148,0.1939941418939094,0.0,0.07283795970038362,0.05867168555761163,0.16084291868073075,0.09984868782714096,0.15502915628598934,0.005380886868448448,0.05113182023004918,0.200720218273914,0.1369738711556051,0.09948220987497117,0.14118432211573198,0.1449724108178912,0.03144716501365544,0.0,0.01873998922920294,-0.007407381292925631,0.1305711212326106,0.18309559128647518,0.07962641659584059,0.13428153421198524,0.1606188406238076,0.21534083840402085,0.11331367277782362,0.02207012666361137,0.0,0.3676348754752387,0.21985867038004808,0.13703009137281763,-0.026986167385119754,0.18028449835340077,0.13501514789914482,0.2324531304100584,0.16860090061838973,0.18625887945890152,0.3207844305538802,0.06721990312142492,0.1483872915590999,0.0,0.02339202558509873,0.12878943725022643,0.18183752867734526,0.05209905877702877,-0.024350896800559154,0.11812348272077727,0.30946616355158363,-0.002849375509092946,0.03954746707843779,0.02338527651954229,0.2743301962843326,0.22157391630701967,0.19641532512505958,0.1080570632114014,0.08677633967813561,0.3775567589649896,0.055765153478764054,0.11940043355079585,0.10925341401137638,0.15520675984122267,-0.043614522094259735,0.08923719125153942
sport wellness,0.18790113388110385,0.25361387405343583,0.3118999469972607,0.12225300892156314,0.20277633120329178,0.16055849571879152,0.08571311451292427,0.14143111007764445,0.13247586979804923,0.29835270483205173,0.13973221794114551,0.11618791698495723,0.08035624233847495,0.0,0.07978124474552167,0.20549809132253966,0.06556573437195157,0.04087285371053841,0.1991755047555482,0.06440102355043642,0.024494476072339316,0.022855501475877064,0.11645987657212112,0.22812020457397833,0.11608432542458816,0.034290376652376,0.07101536240568981,0.0,0.08643769473428721,0.10032042177235186,0.25483338047619,0.017399782520215977,0.07518738819289075,0.25552789851147006,0.21143617220530989,0.013006311398441463,0.15493050625170499,0.18980369362684268,0.0,0.20200749458706074,0.13629080601825005,0.1261692188833456,0.09215274551134339,0.1766615450746275,0.058420086723734756,0.18198918735587763,0.015482284140368778,0.13873259576865923,0.07647327822104577,0.22546774650646745,0.21621787986697616,0.0,0.07204195277281934,0.03406019573408593,0.06258305670382056,0.23219375436253714,0.1513491305916595,0.18532420022182064,0.16598605883647452,0.10908387461190677,0.09190810513761491,0.07070194465683129,0.06367606549409004,0.09945674775501884,0.061743204887375044,0.062182657515517735,0.12411646849930646,0.02495951587136566,0.2625447618395677,0.26806733193065285,0.1743446252585671,0.13912413833886164,0.07971254939796654,0.2717708089698066
