,public building ,grit bin ,cafe ,embassy ,kindergarten ,fuel ,library ,post office ,fire station ,prison ,private toilet ,parking entrance ,arts centre ,water point ,shelter ,toilets ,bench ,clock ,police ,swimming pool ,college ,ferry terminal ,taxi ,waste basket ,driving school ,theatre ,drinking water ,waste disposal ,atm ,parking space ,grave yard ,bank ,marketplace ,nightclub ,bus station ,place of worship ,hunting stand ,bureau de change ,fast food ,ice cream ,car rental ,bicycle rental ,bar ,university ,recycling ,courthouse ,vending machine ,bbq ,clinic ,telephone ,mobile money agent ,restaurant ,cinema ,childcare ,car wash ,bicycle parking ,pub ,veterinary ,hospital ,doctors ,motorcycle parking ,townhall ,community centre ,shower ,biergarten ,charging station ,post box ,parking ,fountain ,social facility ,school ,dentist ,nursing home ,pharmacy 
education,0.5538554701950762,0.03805917115561189,0.11932728236928275,0.14643639933170258,0.5552032916310461,0.20636239018792157,0.39338611010483543,0.34670763172636915,0.2289989062332931,0.30165562809749585,0.3444283821659337,0.20817816426262192,0.568017320359939,0.33021869575976115,0.269870655786251,0.14267721552870286,0.08881902296349967,0.11687119023049422,0.2821437978178735,0.19872139255417445,0.6340952931645852,0.12081993075271341,0.10690728637463534,0.2173700678264806,0.6251751411066571,0.355200431434758,0.25430132906928005,0.25613176814756244,0.06607320663272093,0.2439311913333344,0.12825369179043478,0.2640485955940766,0.32599799653985573,-0.011647775047458977,0.20355040367075666,0.4215780995297519,0.28306610628808465,0.34242547790233707,0.33015242734280037,0.08610225525756664,0.19923997555906064,0.24204619734895627,0.09883842566568747,0.6634756936926978,0.2896586240259736,0.12902382496550935,0.1743134244038074,0.03595389540033894,0.40283540941127766,0.19087413027070144,0.36863593444650783,0.1561506035479739,0.24061524447068383,0.47562858365850447,0.13897967698494723,0.21735067637659816,0.10371751678166163,0.4201145273582918,0.3935284104850191,0.3704210472748586,0.20379775153845808,0.026817786926233655,0.552952111175429,0.07524845413506422,-0.1678918102699538,0.1800392611639633,0.1763716338437199,0.16070702069740825,0.08507240402287883,0.6096146521469857,0.7038593528902408,0.250943797920225,0.572925095007157,0.3552451925675154
health,0.5041042093998007,0.09452727368597702,0.1572809045378565,0.1761523550883429,0.2621108586492102,0.27746258636216625,0.2507054061293292,0.35256619691209945,0.27230262769776664,0.2913255295143842,0.36095195623008647,0.170703630105323,0.4052293498517783,0.4165562211801892,0.3498741535762698,0.15694922690825905,0.1495190729871394,0.16163720287837957,0.27500685059638297,0.296110685981551,0.36237797707116526,0.1587009642704405,0.12030070024488111,0.29746050663851215,0.41107273927885546,0.1849509935698275,0.40682780880981556,0.33939222637624233,0.0680751192069783,0.24942537594459388,0.20984463847996387,0.25189662513449707,0.3165622445936945,0.08261882156485162,0.17631933734530586,0.3332537363655373,0.2620813335276852,0.3372502507348759,0.47379909148731014,0.22007326928730256,0.2640574124471958,0.2626000689114583,0.18206661114844724,0.4119887412239516,0.2761521151102799,0.11563483526214952,0.2238428760684656,0.12224100061346627,0.5632478238428441,0.236572847040029,0.3951872872692564,0.24029185870084474,0.12173406036040678,0.43137663762164913,0.2897537023714837,0.2424323286210583,0.14727176848086193,0.5149295819724589,0.5649802129523982,0.5729251481127144,0.23561670839046261,0.12309846013099426,0.4883400213191816,0.1468448359996446,-0.1452169938994157,0.21279224017279977,0.21201043901155173,0.19632109237462078,0.15502167923664736,0.5762936489483597,0.39427064218232843,0.352445357226988,0.5996359000368645,0.49563303281403914
residential,0.5792131438696362,0.11106137446812386,0.18818495341722727,0.19739135455163842,0.2495233452687854,0.21944624858021233,0.2179068200560605,0.30821961689371535,0.34022853763678784,0.2434508171343554,0.45610452208250096,0.4337884235764939,0.39688366346429116,0.3347247171523582,0.3554672728608478,0.32583682388548485,0.1268317513212234,0.11667172860320989,0.25589643980966553,0.34814257793843645,0.29254062047581886,0.24582667113224804,0.23940264299495603,0.24292886199664077,0.38669450424412494,0.23297853833471563,0.2909798357856091,0.3476992203193343,0.05279261337345974,0.4685241933659857,0.28531263063691037,0.3044623330169304,0.3011522395592642,0.17692238452288633,0.27451371867403446,0.29093180920011563,0.21708676191420223,0.2021733822504636,0.2454688134113727,0.09556673180388195,0.4387303636867629,0.438425782273333,0.1798660017101179,0.3147612252314936,0.36486612718887146,0.3170771622178792,0.1808266303659056,0.08619789278498156,0.3018331715070608,0.3375461034769347,0.36174232717548715,0.2997898147774589,0.1639783317758237,0.2940071122339939,0.30149294479433625,0.39291012144934623,0.18148959772944817,0.2243360552781557,0.320945288165468,0.16927641658733006,0.389470893195069,0.04621678876733372,0.5007060526589743,0.17872870361171195,-0.03606232023194873,0.2989685022424678,0.11932921162651729,0.4391869407665869,0.24021174156011912,0.4817168626647113,0.3487999187833444,0.20693272867356716,0.48450273297117674,0.21953013594423276
culture,0.3927351895100041,0.15699477362014805,0.23932107328937136,0.21201968304497615,0.18432060906460693,0.16914271317706264,0.2522416913244769,0.22511267391227419,0.19861361005565237,0.2194565628027555,0.2262522991562089,0.1228659901792512,0.48636605157345225,0.3228966037932448,0.15491731036832182,0.12234239765102242,0.0384384694151582,0.07835286082840548,0.2339032445562403,0.199693752702233,0.2784313236760257,0.13475604153011378,0.14320189744475514,0.2478826194288697,0.3521018744069637,0.3439595199310441,0.31916907765903785,0.24027485669309792,0.04638941966873755,0.2078042259548287,0.15628061660951997,0.18080779212178918,0.3504905243901223,0.18088899506849687,0.17632331813987093,0.49946663788598455,0.31164746421230644,0.31626663718406384,0.37161031179622045,0.20413800524388187,0.1412888486407276,0.19523162955603074,0.18600581910933017,0.32731109327507174,0.2580410108273626,0.09683245258401363,0.15858209903910114,0.09351380027421098,0.16339423508174122,0.08423766950959279,0.296841692977052,0.261531933325292,0.3714096400253669,0.10622518553167866,0.17426754127652724,0.1694730365637817,0.2133432911929727,0.17604415491547226,0.16933303184765258,0.21862126927101658,0.1460868082517396,0.03237221302639326,0.49176799001632254,0.06358732188710958,-0.02321352175490024,0.16093934767393053,0.164247920235257,0.08225757262513063,0.13377954309476076,0.4847581965746172,0.3167481948682481,0.10385160276921339,0.25831287784401047,0.16669676118199556
culture and leisure,0.5325709612014297,0.17982435004864275,0.36494748839772134,0.22495882182916438,0.23099469942868195,0.27739985278470397,0.34648685931677653,0.35943655070831765,0.33087265720030545,0.25265703167944303,0.4187233346793497,0.3228567546563011,0.6130333517240412,0.4624637798685136,0.2593657871334315,0.2539607740779293,0.15633152652602667,0.20359955770808533,0.2661425999999196,0.45390468524741334,0.37045691411268644,0.2710438314979109,0.28669519779097363,0.3608225815155686,0.5002440951590603,0.425182732320157,0.4618273729015789,0.35056471641384174,0.08735836706132685,0.4146526212483719,0.2587753922861112,0.2606305687409954,0.3776531952964816,0.24048665324651314,0.31523019570536825,0.5962256245342046,0.4461727547723688,0.35678660485183616,0.5049981583628442,0.30385827150094474,0.36862672435660093,0.416813151010589,0.3235878788458232,0.39564524589156014,0.3186642343401789,0.12951718440356375,0.2650190055656555,0.203560550696471,0.2387499398706114,0.22765084377280614,0.42468316011182605,0.3941332361316442,0.3883020767206222,0.2659974240489873,0.37007688783234804,0.3760943646872684,0.3158090962823691,0.2239481505441872,0.26780763096488924,0.2574882682057467,0.350006118402482,-0.04664900540130129,0.6152097956576605,0.25127561792078223,-0.04679679182519932,0.28194794178757915,0.24507932348227685,0.3042226934205406,0.2622036057160918,0.6045710673900656,0.39995385058215077,0.16157417750641712,0.41620946913286305,0.2154823931783221
hospitality,0.33286739085777384,0.07968103065747807,0.32135080505016766,0.20360534060469382,0.10848672662524639,0.12766170272619984,0.1736245715067981,0.2330464483365775,0.2018355813957136,0.13352823069335193,0.3333926949785797,0.2751642825326806,0.42783051724066323,0.20081107609775303,0.23534614477791022,0.20995872292416515,0.0681418501638038,0.07996194430061683,0.1273421181403672,0.2818355395415617,0.2525589323578119,0.1765751101246327,0.21618712515332109,0.1770848294095168,0.2651530127163284,0.3054906422466909,0.22176053553102257,0.18561710436561152,0.06556607193981645,0.28158074514252673,0.11190836004007701,0.19347896262823305,0.3062317568103496,0.24058087067282888,0.16567609332420663,0.3853056917221723,0.27181754334837804,0.19039989634456075,0.3558817588050903,0.13039179297396428,0.24692930690648285,0.2573451822493418,0.2892632154057644,0.31739561338238553,0.186696579098685,0.11749611199625745,0.175011391145877,0.19966180449498044,0.19619177093130286,0.229334277988764,0.28362096090216127,0.5033825663888252,0.2404011170694361,0.32054323788249267,0.16936183755202805,0.22369850394059346,0.33777149238056686,0.2880731421415711,0.254620957803691,0.1710742217811158,0.2412954205261985,0.023945318565480024,0.46131576292705745,0.18911071784881936,0.12353647570770507,0.15319553818925222,0.05729101110560704,0.25213262102733447,0.19204565892735054,0.44952842815418603,0.20910628985311872,0.12250016153104563,0.3710799064205877,0.2094673571311542
tourism infrastructure,0.5850043869902409,0.10136045023611644,0.1847298829614257,0.28061773366208254,0.1378875102885578,0.36018885758600383,0.25861233423603464,0.2736508303711814,0.3048836709720188,0.20634494072263537,0.348781886425068,0.28521232787862677,0.49696080133966325,0.3850879038976277,0.29260987761772317,0.23262614611422855,0.06252520015012587,0.11302557769576685,0.2689762031452464,0.2524017193999649,0.23070770637512528,0.37073759889556246,0.31465619872951534,0.2947030101022968,0.35183551516529166,0.27707787360709774,0.3066786882945027,0.3946178957507128,0.1047893006108575,0.3683156708839901,0.15703584627165637,0.31983404140845695,0.43458484022600274,0.12130830262093129,0.35274724845152533,0.3182488637208215,0.27443986177962243,0.3564016050478098,0.3517609179506498,0.13057429917195712,0.3277929320674883,0.41031141795926895,0.10527345258286898,0.3884050671464134,0.3919689163349793,0.15620045802445612,0.23849130167436275,0.06885294862146614,0.23534913946594616,0.24051900048077923,0.45685649401776784,0.24664118487526612,0.25076116696981265,0.2697246587719979,0.19577179764878422,0.3548880216168605,0.15908686702522143,0.2728027148470016,0.30913663334242913,0.23256361720234375,0.3034948624248135,0.044240865750083756,0.5801350931753453,0.05661673930535628,-0.052581833485136065,0.32657052892477934,0.09815677798638658,0.2892866184597717,0.09190518618430835,0.5898830666946759,0.25377654191087534,0.133666610324106,0.3168928419631129,0.20650669862668303
tourism,0.40821980920477763,0.049204711886774215,0.21965589751764042,0.2996119864018996,0.13963435281363948,0.24979265693545114,0.13664875828966822,0.2297576577914812,0.21575107026653967,0.16552305607207893,0.26308637403954915,0.21940040303729527,0.5117602136026361,0.3178755099884355,0.22462907908790894,0.1432928879166107,0.03343643903678592,0.06464141540120882,0.2345646519150385,0.2285107944193335,0.23723598797110854,0.3186610835619366,0.34278748374722023,0.23066697500807584,0.3270707498736309,0.3012855821357937,0.274221402827501,0.24447244598543422,0.04372633167948009,0.24250693791535793,0.07381409061092556,0.25675626633536935,0.3391290466952659,0.17259986152792894,0.2777946013573397,0.28194218898554163,0.296230365832653,0.34072245044873206,0.30588675538330146,0.1415146421507073,0.33875564540529707,0.4169816702052787,0.10977713351838607,0.37515585663436485,0.31338097450328695,0.11101769837027055,0.1496113423758722,0.10323350018926669,0.25399141904458156,0.1522010935211675,0.36567546171566934,0.29843834022850574,0.2910301021088092,0.24609497446930254,0.1889946215421791,0.28891827636084166,0.19852081914945263,0.30091513013056836,0.2625854730192733,0.25037196593630795,0.2595262247688589,0.025396578065847837,0.5187796955108785,0.04735608099236718,-0.021290022652507276,0.21196942319721931,0.07151031979127921,0.193562133564369,0.10385360799458597,0.432905985790637,0.2461038541200704,0.19042772049090556,0.29006376781832577,0.20049770496952365
infrastructure,0.5930251422412789,0.12347567650092181,0.09988414990144139,0.18452641814963341,0.0979755149224234,0.36661912921090667,0.30434283893498837,0.24004204131377926,0.3061740233718996,0.18843989568552916,0.3345918335905235,0.2695024367024801,0.3449261962156057,0.34303541159009776,0.27693727258017975,0.2541434862644043,0.07319775397930556,0.12827513208506738,0.22753414014412623,0.20542527068487482,0.16045702360905098,0.3180902855789655,0.2003299753038026,0.2746518704217635,0.2781318883899738,0.17694824600515727,0.2529017489296222,0.429774941051587,0.1345301519893219,0.3873326320379335,0.19362656257024455,0.2918925310362183,0.4060031125685314,0.038289044992872834,0.32711405188493403,0.2649703995191086,0.17736902962192122,0.27268396224000063,0.2984030767242109,0.08383800462995718,0.22635517085563583,0.290127944648147,0.07174946803702739,0.29347462625918697,0.35896153092755956,0.15639709186669964,0.257946036955231,0.016659915420407442,0.15214767791823902,0.2588703772793709,0.417983889820629,0.12838589770481273,0.14246349634944888,0.21769380126255974,0.1480183889931131,0.32001212815563246,0.07701034902002218,0.1700987630118157,0.2682484495190214,0.15093740357049365,0.2616843160332294,0.05011900415798286,0.47836533869850445,0.049836029953718386,-0.068132439845191,0.3463703372283726,0.09659872158690978,0.3012483042264579,0.05491948427514923,0.5774796079339418,0.1908032495450402,0.04195459984543741,0.2548648697456553,0.155037343210439
food drink,0.3432062663717035,0.25406484402111607,0.5039050114032081,0.18911258291778466,0.17649314092262897,0.35964266733623973,0.20191717726579927,0.30231712532219485,0.3354007175698345,0.2128573238463719,0.4061916032883577,0.3067694916514,0.3119763283614083,0.5536958363812664,0.3285513735937802,0.3375776108837142,0.18087521660933586,0.17363591715388366,0.20753782668949888,0.3913124421259023,0.26701795530295597,0.1912402401016976,0.26683256274621614,0.4944952614881744,0.36744429486036895,0.25135327272463215,0.7327427837415366,0.3994601492217176,0.15172705837076184,0.34757486669738896,0.25123570527676986,0.20573252514790594,0.24798427367464693,0.2770689692792461,0.26799280923213176,0.4414387329762854,0.4232464674430728,0.2701852267977863,0.7873587870280029,0.5654648352949094,0.2686827391186046,0.2878045682803221,0.5242379183845903,0.22963558889188868,0.31185657044400406,0.09656477526849588,0.3969338005165609,0.41583978380423803,0.25545173252108544,0.15141448644940575,0.35125582454936255,0.5955014913983936,0.23858222577037308,0.2087984028018885,0.419469752045501,0.34000980605996384,0.4640041252969991,0.2595787937824767,0.27594156482733684,0.2972948119433004,0.3043629203869952,-0.06381621575359739,0.31369241384647595,0.34165272990290224,0.11299171487114094,0.2586564912214268,0.3158356987039179,0.3101008929806603,0.4020478507360511,0.37174204334671523,0.2948547768797151,0.22236830508265137,0.3682617368565949,0.3159304291811645
government,0.6026312807079142,0.16095924342326462,0.07589402763500507,0.45842268035157485,0.20422919272860873,0.3326007426259744,0.2522681826171301,0.4281807129717822,0.313210953689633,0.43483294093573965,0.39172112644210394,0.2158906474700427,0.3323204060812182,0.3803680344691211,0.29836100587190256,0.1725554667005885,0.13806605801313085,0.1305574125670185,0.5264281803543795,0.14414499147793913,0.3000867899245644,0.194995072461302,0.22536227417706997,0.2631102541473451,0.386970601942556,0.1826319294636728,0.2821998971886017,0.37404176041406445,0.0707452543760412,0.26417628355714096,0.24522453335845243,0.46535266788780394,0.3179911989456322,0.04112386105482578,0.23929676776883374,0.391752225742212,0.3675440968312735,0.41589988737085287,0.3287393630005291,0.10825618049719271,0.25703801041404156,0.22187281147686327,0.13261546628431511,0.42422873592529503,0.2353654412298768,0.2989626494533001,0.18368954769266854,0.04301174070973576,0.2013102763866487,0.2575247525933689,0.45521802949099954,0.15488443686576098,0.15149708394165906,0.24977028545494992,0.21710054113594857,0.20599555879690487,0.08711568219277946,0.23266131902987375,0.3574116251967577,0.4030893261376687,0.23596307693773674,0.07029267410497345,0.4125708732582409,0.06677413592897637,-0.12400908375779524,0.3062404526143321,0.1916878916847167,0.20472384034264676,0.09028134707009304,0.49297202660832107,0.35379778935435735,0.16297450759183976,0.34840189972892044,0.22828389188809495
sport wellness,0.38570161136853387,0.09024794115392248,0.25818862066235293,0.0500893517595557,0.2363882905189416,0.23491940280896223,0.17854042789857266,0.21055955581411784,0.19476157750233247,0.16522401490291666,0.3340688841247082,0.2112883698642803,0.5482166880406283,0.359124908071497,0.2395549302158359,0.15982840019725164,0.1999725960692608,0.15906506341520962,0.18268981757066702,0.4807952399595416,0.35894340339236785,0.10539723137317251,0.1490033225324964,0.26077146790534295,0.43464960796815577,0.31117916223566827,0.3595445777551757,0.21365459329176834,0.0711828088512958,0.2834687550288206,0.15800027895573898,0.15034791708983977,0.3408114600950384,0.1748319186846663,0.1672226898438386,0.354170431308625,0.35225498428433744,0.2720648190374349,0.3948575115405335,0.254560382643777,0.3066787998733185,0.3850102757017099,0.2899491411744637,0.3703281159518904,0.2426141472439611,0.038216207159173246,0.24347254272878122,0.19238671202598706,0.44047356531611326,0.16910153032133082,0.31111885227288616,0.2854968608205239,0.2805239427086216,0.3334680152528311,0.31200143723883267,0.3624525761350734,0.22492754505384124,0.3765757962135922,0.28615227072311905,0.3219401291320708,0.34506145067801075,0.03351698198063621,0.5096805351033743,0.2168887022165224,-0.019694830488070636,0.16874581919049597,0.16291059411371012,0.23227572439332422,0.23457390666525038,0.5055063061549515,0.3747373334994119,0.21772075740885205,0.4033653379342139,0.2976027464497145
