,public building ,grit bin ,cafe ,embassy ,kindergarten ,fuel ,library ,post office ,fire station ,prison ,private toilet ,parking entrance ,arts centre ,water point ,shelter ,toilets ,bench ,clock ,police ,swimming pool ,college ,ferry terminal ,taxi ,waste basket ,driving school ,theatre ,drinking water ,waste disposal ,atm ,parking space ,grave yard ,bank ,marketplace ,nightclub ,bus station ,place of worship ,hunting stand ,bureau de change ,fast food ,ice cream ,car rental ,bicycle rental ,bar ,university ,recycling ,courthouse ,vending machine ,bbq ,clinic ,telephone ,mobile money agent ,restaurant ,cinema ,childcare ,car wash ,bicycle parking ,pub ,veterinary ,hospital ,doctors ,motorcycle parking ,townhall ,community centre ,shower ,biergarten ,charging station ,post box ,parking ,fountain ,social facility ,school ,dentist ,nursing home ,pharmacy 
transportation,0.4950002445549311,0.09283652662288495,0.17983723085685976,0.20614685250282125,0.23315327115598267,0.45718755241747494,0.2570405176835936,0.28934212858139585,0.397061455315476,0.2270244402807724,0.3684539060009048,0.4319926404146312,0.34681621128271883,0.39666010318645456,0.34648029740271225,0.26719084537272264,0.10240037439782838,0.13527930854315304,0.28023000969801154,0.25551096254406624,0.2406217651524844,0.4976848416142765,0.5141750214337443,0.3929743840781121,0.47637366650435076,0.22622481622114554,0.3421084091457133,0.4834558575274782,0.05345756474135851,0.5196020305267612,0.21512664841420318,0.20578957724963995,0.30949597598614276,0.12450465978968678,0.522494110979365,0.289786794339109,0.2643740119819104,0.3245285581216379,0.40614690571480966,0.17125372322363716,0.49548875506851553,0.5967903407834655,0.17531327766240956,0.3029771886575511,0.4461508136835606,0.2368208633738364,0.292895268168441,0.11042867402286219,0.2436529008348396,0.25987997676149277,0.40155413839950804,0.27388313748777415,0.13224032575628403,0.34658286752032386,0.36324888410332945,0.5931358733997257,0.09607474615181354,0.291347870234871,0.3444331204063595,0.21106221637295305,0.5159044481301275,0.03653184062880078,0.384708752548215,0.1340975006882626,-0.07160405816377953,0.43565206241447435,0.11857223027488556,0.5083797495478883,0.11440456174732441,0.511748307556036,0.3369451560719708,0.19280673767676332,0.30426446950806935,0.21294295844102756
public spaces,0.8002222747271508,0.1844641209316667,0.29457380665962585,0.22953813465734407,0.28708141466654213,0.25658980448401514,0.48159076210977325,0.4437485683555952,0.3880499346339189,0.31232776964941833,0.6385970286656484,0.5728596787860016,0.4923191860309501,0.4587009288474646,0.3603058210271907,0.4451696297633741,0.19262625938475045,0.17643852463669957,0.34813928621758117,0.4320090666644873,0.3548945684556575,0.29867790229323793,0.27998606335298626,0.3018792505315899,0.4489285060178166,0.4248415597879581,0.36491578640417893,0.4173497804210563,0.12103238677755203,0.720236317447521,0.35919696964439257,0.26677689053736664,0.3577935044934338,0.22925966762251088,0.3784566704572963,0.5175880107071884,0.35465190363277416,0.34339794931201106,0.33802694055156135,0.1742623861835216,0.31556182234990054,0.3699511961887844,0.33634576323537757,0.4234901320586237,0.3501191254685828,0.3375158699628158,0.2754383186659225,0.12915613147717192,0.28818189484985396,0.32447679236064436,0.3903963238211185,0.31731675823649047,0.3173231145594422,0.3506634637668349,0.30398323016684314,0.5161130662578302,0.2859109800292566,0.21401250871006652,0.3280858155962312,0.2681884267754452,0.45542370633117724,0.10417862684395379,0.5634917558400245,0.302058997704255,0.0022565501715133413,0.3501861909606034,0.29938509629105403,0.5708356186477372,0.25928711354036693,0.6370855880666804,0.42666119727589036,0.16044658859878558,0.39129831996814535,0.21329481571019335
services,0.5072635734682313,-0.001341306463315449,0.2210787089901493,0.158780576126283,0.1815230313650576,0.21209492412977463,0.34945770652864766,0.4140251685333144,0.3261171752752454,0.20665691491488744,0.41455410058671355,0.2847906804530317,0.4110193098440623,0.2993545920012507,0.28646050086395697,0.2001100990024248,0.07937090408848321,0.1682009004421582,0.26127899178418623,0.2673704378325609,0.28129246320276,0.3143055542555267,0.33238655118173194,0.2803587739488571,0.3790512832237849,0.23957968700693225,0.21372039158660075,0.382005678196109,0.07368184754436408,0.35756816146735176,0.1819790350825226,0.3205614646965159,0.43488265278302995,0.13323156590577545,0.33147015529523977,0.39703560984697855,0.22994429599481275,0.3677533621171527,0.3743145754011151,0.11047944518371118,0.43859862880028777,0.415205247376746,0.21826620372940456,0.3089911887004175,0.3440153480258314,0.167914306685063,0.3137918664991113,0.08855375617587968,0.4206120980908314,0.48652151449485226,0.5736667289781233,0.3079557048343825,0.1650454123781805,0.4729907441233785,0.3022890820284577,0.3042986106279599,0.1607459724939408,0.3575903928274057,0.41858872299301353,0.3657443551230619,0.3161642385089135,-0.03753391805290549,0.5261647796099072,0.19627777716601746,-0.19450777871052743,0.3675371530572189,0.21950208110834762,0.3231087698812778,0.11782333311703846,0.6560954518698666,0.3261604268665465,0.3242218622004921,0.479672360925569,0.336140779587211
business,0.548496684040025,0.10807282787175856,0.27227687724827043,0.17282779116715347,0.16400977139649522,0.2475655096594282,0.2507830387122016,0.4655227628472842,0.2734568974330607,0.20211800608534408,0.37465634630286637,0.25472401450832594,0.4181141892757786,0.3351817630590713,0.17181977924705483,0.08004835535185631,0.11246365725855173,0.19419701850722698,0.22885015504769504,0.2408936090082662,0.36027998979740083,0.23023585031219923,0.28408346022510866,0.31914433969720024,0.4440670490074212,0.24993107873299925,0.23872046629067342,0.3200403413160103,0.13846311916123252,0.37295868037796565,0.21175755199077478,0.4431012695389826,0.5462308180073638,0.1786920989226113,0.26409908115962,0.36665468582998073,0.36229843249047977,0.36964347601519665,0.42792914703758533,0.16932556599188758,0.42935065463467015,0.3946940259646544,0.25740183263569,0.3734830193842319,0.3187169280661625,0.18616192934214498,0.3528814306646791,0.11019341718426096,0.2580719860281854,0.36388778793888116,0.5797084008618855,0.38293557109291304,0.1854139757798287,0.2751816428265576,0.3480641233599393,0.3035375526955704,0.23612321427903754,0.2567268092791583,0.2807219872445084,0.25299874818947216,0.33809258586179325,0.005424948849361051,0.4659743411182893,0.16466999469136792,-0.14660875426682052,0.31675454058466374,0.277147673417546,0.2772281268426574,0.15768492664424705,0.5719649723270503,0.36385531880127253,0.2026981409578522,0.4321962492774441,0.298474939700026
business workplace,0.5873163733707344,0.11948655750638101,0.26251842389017577,0.19715224123417732,0.2630889758335139,0.24981209634844803,0.27677005451670333,0.4858448793203891,0.3063156824936946,0.29572207479180884,0.41850646969315547,0.28131282164257493,0.4313312685442062,0.3162329610090339,0.22259854638316756,0.18377981442940927,0.14650991481126135,0.17304036914544052,0.32342170760608696,0.25365840882195423,0.3965278178144913,0.21946171741240905,0.26575899769242617,0.3167036502683864,0.5150509797858716,0.2666328519953212,0.2940626361150204,0.38715601522152565,0.16180672663433737,0.3938273532293415,0.22611580548371885,0.3544655710399177,0.5194953984112409,0.22151758946782285,0.2566788572904846,0.3956720223932944,0.34399824220614206,0.3540137851813028,0.408151662790903,0.13503233054759886,0.37334999223063203,0.3690514488590533,0.2749852067499761,0.4301269441831131,0.3779950100221611,0.22135867892650468,0.3475797507687251,0.11237026092018428,0.31842771666071773,0.3562586421911652,0.5171327436983479,0.3472470749431383,0.19033921954825084,0.41111666116846407,0.34208444249387565,0.3422441312929164,0.27505624009314467,0.29388631121265996,0.3748192778438198,0.32093734268581653,0.35766748533219606,0.06243964697307991,0.5020951001891354,0.197735271581064,-0.10739580928900766,0.2875700621625597,0.2528194769166514,0.306297580154333,0.12833263137335899,0.6566443892025475,0.4357037819542964,0.2358495953192907,0.5133291564842266,0.34151895989716996
commercial shops,0.5627202738372384,0.15063401141201405,0.4660057274074184,0.20029592524965836,0.11916362251238377,0.28548160869355865,0.3148615976979061,0.3785121378748046,0.45085225243072413,0.18128696037916625,0.4594651745971573,0.437990772789225,0.4930539816081677,0.39019230276014544,0.26752684349047806,0.32991711077456265,0.16648339546814966,0.21055221367695348,0.30350240176273574,0.36558067187084836,0.2591281593646409,0.33008565659995814,0.4044319350177713,0.36792558985099777,0.40288687331907935,0.37151589199565044,0.35326211129176005,0.38159322939321094,0.20707602455846844,0.502800445056625,0.2992802560039479,0.38477354625412385,0.544898168634815,0.2984609739332561,0.43580774796985877,0.3772075313072711,0.37155465996013565,0.3241126346035061,0.5021462595539709,0.333383012912675,0.5224251564401983,0.5316963004549944,0.37678608741779396,0.2849610665561871,0.39216585497494294,0.3036506897176096,0.46107225046795075,0.25586038853102766,0.2827759409767576,0.2940239881022768,0.48064024543670797,0.483943889062611,0.3695498627343414,0.2467510225562134,0.4623604938986294,0.48686752006122014,0.40040307197832853,0.28009528241495335,0.2945657105439743,0.2493914764589069,0.4888261430873657,0.029126460227469165,0.50217656310637,0.2137476681434859,0.003197629738823895,0.41713189782133764,0.2961046953685216,0.45838947341343667,0.3031569490679926,0.4621035326168319,0.30668898629429797,0.22807726666770017,0.3794367190928828,0.3744627494444306
worship,0.3602794455077245,0.0644198388420027,0.16156193882302652,0.1692539947259151,0.23733128697789538,0.05978560709374456,0.22237686255800787,0.24167538166929994,0.25953506556257205,0.20544410561952403,0.25011815784699654,0.19871111406614392,0.2911690570747606,0.21938313939379853,0.27616904359238015,0.15428711919772936,0.13088081910153415,0.10012515606202887,0.16573133618025324,0.14650695374177453,0.24595407823719428,0.07853207118785616,0.07102924953905757,0.17437539448427467,0.2836684429046338,0.2741469043137339,0.22458254158282104,0.192746115329133,0.05477042268779059,0.19565252779451808,0.28204073029634136,0.09447749420517337,0.16645366686512206,0.14093913356753585,0.16255187999247628,0.7898116948254285,0.32806267670988026,0.1256241583593478,0.22881898266745263,0.11638699301437513,0.08028426984255965,0.09490149872296867,0.1273269039469916,0.19205629466647414,0.15443559434774476,0.21717241141964538,0.10020463395300774,0.10253922404715521,0.21137346572326526,0.14738738150642935,0.1347881652564591,0.1428033737055421,0.2110265057043339,0.18840487777782094,0.15004966258612462,0.11804656786165263,0.15588731044645365,0.06714295805884846,0.14920174251029192,0.17288159686049714,0.1243906224075627,0.07963235861305806,0.3351660182569665,0.20828789881075638,0.01739810867960323,0.1487670942149742,0.15529132645326557,0.12025949735617388,0.24595775205321888,0.2911137328908719,0.300576714971855,0.1050266140476905,0.23978139945528928,0.049230690221536734
living,0.4737231661597597,0.1514149311861429,0.25869478620438496,0.2164986948001663,0.2591823827943505,0.20605051285410114,0.2463436700424017,0.34567054458868046,0.31016251726555466,0.3876220285783394,0.48322420935573585,0.3299700695983035,0.35862444568683005,0.4072588388753228,0.4265287475028594,0.33078778757992555,0.22598372282907908,0.18215729420975327,0.20474637491277398,0.3916440485805902,0.3344439391947203,0.15891057151011379,0.14058730522796986,0.3023265244838411,0.40111217229503165,0.31877099810834475,0.3880704773011,0.3137406371807129,0.07510349245913771,0.4600146498262498,0.4079459656021397,0.22749101971205324,0.21927927512501985,0.2103829949844714,0.21282825420161378,0.527579999776656,0.4333695755701412,0.24195937562446165,0.40217758117051783,0.18456797211490944,0.31759193901783644,0.30254586772969755,0.26492745483615665,0.3025726476057398,0.22381926618657233,0.2184557824019301,0.17292852560376948,0.14408510354097526,0.2522018182753744,0.20152681833296232,0.36747573656208465,0.32241981604951236,0.2546064932964722,0.3059363078120517,0.3047967024111636,0.2859442794623156,0.25514512709888176,0.1569112944803423,0.36568737367393134,0.31445759245425803,0.26707421707763607,-0.01689002977330493,0.45753744767818905,0.3454426030418716,-0.02158139570225094,0.22634654852031996,0.220744018609704,0.29391479767313033,0.2438607714499393,0.4857704328619206,0.3541026623871841,0.22907132675987868,0.5463454437655723,0.16894653231504908
personal service,0.5399112721703996,0.11578607661951101,0.2639729067993391,0.2118577236565351,0.1743980838130381,0.27146244588070734,0.3510565953784305,0.5238650306951649,0.39487536645321897,0.2637909464882638,0.5107823977585055,0.3310920794324089,0.3557574318981126,0.40381763646793384,0.2929696368385885,0.2095607890796129,0.1483761349540813,0.2580525134765478,0.3335503510348312,0.31868367558123917,0.3523054866347798,0.3288164987622084,0.35237941784349036,0.3220119629629097,0.47689270902133374,0.24134127341219389,0.2848627534869647,0.3776381222840803,0.13881906545468836,0.42913646786903,0.2856977007778786,0.3914376163101022,0.4077678261198827,0.15416743263583585,0.36709803992488366,0.525865511210706,0.3406792241925209,0.3873953054204941,0.4548155609818087,0.19093115398538704,0.4969823859350793,0.4555901989654197,0.31459951652374474,0.34314172717569014,0.2970694085285077,0.19023695809638463,0.3675396792974748,0.1548281565157479,0.34332388445724643,0.5362757633843276,0.6263363728297053,0.36623124468040524,0.1922364478080767,0.399600423446146,0.421986050506179,0.3758225778828681,0.2115826072394606,0.2986289138403916,0.3722187921876492,0.32907812779273216,0.4199836293270316,-0.048832502003494635,0.49266944435406185,0.28054518474991547,-0.18320511672356998,0.42373637763211075,0.39315852040594584,0.363427237975363,0.21027365679462473,0.6668653607668743,0.3798363776174733,0.3049655069734719,0.5079062539683443,0.32484088850214954
personal,0.47357248838828486,0.14133062679512892,0.16096026740549943,0.18829667256151594,0.15806933575275978,0.1920204687026033,0.2788535775023352,0.491431669069854,0.25569467681786784,0.2496419281062784,0.46050401436201377,0.22783399901590756,0.31125041547777316,0.3666341404522939,0.25611569884529484,0.1304152385873311,0.16232091847877606,0.20013919202987007,0.2904859323261223,0.2664995290427838,0.349658511876008,0.1683634384833881,0.20149986867086012,0.29375456527792976,0.440028442350392,0.20493133144913722,0.260916948063342,0.31056493215281233,0.126474361993083,0.33463869596788254,0.2634732739990468,0.3992797186206843,0.30827093614659545,0.14179122912065886,0.20271864491983876,0.4841371952225425,0.358456525331737,0.3232471254097376,0.3524678936010993,0.16214067207830468,0.38830045463486185,0.3639360877023858,0.22987376867330198,0.30809919430926963,0.22439567520857162,0.1591263717960913,0.2717335333913826,0.12565823853113361,0.2785300122792106,0.3829139660644978,0.5311154909016569,0.23627398434425553,0.1820077061564474,0.29721511291853175,0.35292278285572176,0.2845706568399682,0.14137561281886157,0.2539384205997838,0.2921648183393615,0.28424259959495213,0.34514061888900266,-0.027706329313893212,0.3917879598123054,0.23759933374236794,-0.18855546548369428,0.2588057561164249,0.3819149724747859,0.2332396281353994,0.1948944983919846,0.559665995131252,0.3507751234099935,0.25327050213817115,0.4667013940235314,0.23061272591456528
leisure,0.36446702545141474,0.08704245775694427,0.3696069831142692,0.15356039196218726,0.16448058979533592,0.21370656779322061,0.2459927254808,0.2232486396178111,0.22868743688575596,0.13930149420826424,0.39599830222413157,0.3206615487229756,0.5265603635514355,0.2853399924209071,0.2078040455619257,0.273014737525787,0.144109497729718,0.16245277880465658,0.10356982278478821,0.5049117555917141,0.27571081248873425,0.2885454768936594,0.32277027277306114,0.27118220184187536,0.34294205107117254,0.33793461101270394,0.33109514790270106,0.2710824701865687,0.10448216264125641,0.39103400212767864,0.16490462362989247,0.17370668198952088,0.26224406969762487,0.2314808589147992,0.2851005384169719,0.3264000098850744,0.3122928397751138,0.20114728907665191,0.3308058338514094,0.17783118550634963,0.3961664479217622,0.462600578027604,0.25122192920919584,0.29462291458381873,0.2449584252867503,0.07410856671949008,0.23270225915126486,0.22269760984164005,0.1840393900552321,0.21116492004305842,0.2775638351713473,0.3683047639980842,0.3056473556671798,0.342922577739462,0.32552051507013013,0.40158239096024884,0.3354899081194632,0.16459806626949677,0.17855887931494402,0.0972898860442042,0.3616838735875094,-0.03709125821646418,0.487584464675926,0.26421435323642317,0.05543953279415818,0.2123829923591437,0.09446898049618288,0.34234317236102524,0.2794348158594383,0.44152268273087597,0.2520474921184232,0.12141530895725844,0.309749213236778,0.1420945231423372
mobility service,0.4399284473405736,0.11761404229285849,0.19185856491469927,0.15286816070783785,0.15022521436976985,0.3239206498012806,0.27022565056385034,0.34392069493629196,0.3484759701643577,0.1545208021483372,0.38965222613438877,0.3359705573109198,0.34168288919034717,0.3521792905485788,0.2510043307453163,0.24966644191455512,0.17824275298983952,0.21542232164227176,0.24981819643215913,0.27521192775354836,0.24322195808107705,0.3372105896512943,0.36373406267994157,0.27309342673535086,0.4200603330934935,0.2034287534369389,0.23750903693399986,0.3650484258333944,0.1659708096596451,0.45853589889156554,0.19569677651078984,0.22941692585397133,0.41684144964128755,0.06418650031684961,0.37695926573212857,0.36610658744070035,0.2780935195488205,0.3232171305775829,0.44037439914458226,0.15897072652819297,0.45028600584136735,0.4708838149821244,0.25259407846973125,0.2937521990799005,0.32991457200789065,0.07592652479726612,0.3731910841684598,0.10481255562328955,0.298310200088959,0.4561647347632037,0.5606166201311467,0.26747710021838306,0.15041872532147724,0.3855605864518472,0.372054925542567,0.43297983534307544,0.1572397438423751,0.2522781577129608,0.32175666224542215,0.28932335203405607,0.4229890096775012,-0.05739230360005748,0.4612261853627341,0.2143882199969266,-0.14717009677675685,0.4312176174182537,0.22632302201659862,0.38993512228489613,0.09980813690699004,0.5854409763915671,0.27264225771622574,0.21952823100813623,0.4138273990266334,0.2822711728460968
work,0.5476324832620197,0.17429943583819646,0.18859145989012832,0.14389695678920206,0.21919384086159568,0.23750067109834025,0.3557345030746795,0.5365959510545533,0.3365267834185671,0.2890300061696638,0.3539703807467313,0.2543850395173709,0.400418573760038,0.45124716746963567,0.2588876077662121,0.20751111286351553,0.27333640912977253,0.2744672954803959,0.2944147382223182,0.23395919005126536,0.3497802577329253,0.18982289662931698,0.19511098396633286,0.3004927274057604,0.4930971838554956,0.3326135471359225,0.3379057188286166,0.3325662210154784,0.20297625350460333,0.3661444617833371,0.2713053947414639,0.24358001950544372,0.21387544333282263,0.06539283080428397,0.25477155571168536,0.4920868682500188,0.40567337200612685,0.36769691107898467,0.4459865873810143,0.24660621790355225,0.2453887413800527,0.24319647934371974,0.2480744412250641,0.35175044785474446,0.2804615403854388,0.14636666309074758,0.2658271555666873,0.08591315458206586,0.31785079247643533,0.2166884002256691,0.4412679506787566,0.21860475272006735,0.24027067004380623,0.27157920129220275,0.35968906690475916,0.2847332877056122,0.16218902455153866,0.24048877086463846,0.3277382992122816,0.38502736608687604,0.2606784877573604,-0.09285369765858689,0.4174949486263147,0.21442766266233101,-0.1719030651121538,0.29470782037991744,0.42013131419374117,0.24741692422216718,0.17712414421337513,0.4903741685817163,0.4342533177419289,0.2504840888942082,0.4814118177418738,0.2742424828523901
